BBG004730N88;1683573540;238.510000000;238.520000000;238.550000000;238.500000000;5059
BBG004730N88;1683573600;238.520000000;238.540000000;238.540000000;238.500000000;3722
BBG004730N88;1683573660;238.520000000;238.520000000;238.540000000;238.500000000;8991
BBG004730N88;1683573720;238.510000000;238.500000000;238.520000000;238.490000000;3175
BBG004730N88;1683573780;238.490000000;238.450000000;238.500000000;238.450000000;1490
BBG004730N88;1683573840;238.450000000;238.450000000;238.460000000;238.430000000;2564
BBG004730N88;1683573900;238.450000000;238.440000000;238.490000000;238.430000000;5537
BBG004730N88;1683573960;238.450000000;238.430000000;238.450000000;238.400000000;1146
BBG004730N88;1683574020;238.430000000;238.430000000;238.470000000;238.400000000;4580
BBG004730N88;1683574080;238.430000000;238.430000000;238.470000000;238.400000000;6463
BBG004730N88;1683574140;238.410000000;238.430000000;238.450000000;238.380000000;7708
BBG004730N88;1683574200;238.430000000;238.340000000;238.440000000;238.330000000;7341
BBG004730N88;1683574260;238.330000000;238.400000000;238.450000000;238.330000000;4928
BBG004730N88;1683574320;238.400000000;238.400000000;238.440000000;238.330000000;3163
BBG004730N88;1683574380;238.400000000;238.380000000;238.440000000;238.350000000;1185
BBG004730N88;1683574440;238.380000000;238.380000000;238.400000000;238.330000000;1616
BBG004730N88;1683574500;238.380000000;238.380000000;238.400000000;238.350000000;1671
BBG004730N88;1683574560;238.390000000;238.400000000;238.400000000;238.360000000;1930
BBG004730N88;1683574620;238.380000000;238.370000000;238.400000000;238.340000000;2998
BBG004730N88;1683574680;238.370000000;238.380000000;238.430000000;238.350000000;3488
BBG004730N88;1683574740;238.430000000;238.400000000;238.430000000;238.350000000;1504
BBG004730N88;1683574800;238.410000000;238.400000000;238.440000000;238.400000000;5552
BBG004730N88;1683574860;238.390000000;238.380000000;238.400000000;238.360000000;1953
BBG004730N88;1683574920;238.370000000;238.440000000;238.440000000;238.370000000;5611
BBG004730N88;1683574980;238.430000000;238.430000000;238.440000000;238.420000000;1026
BBG004730N88;1683575040;238.420000000;238.440000000;238.440000000;238.420000000;1194
BBG004730N88;1683575100;238.440000000;238.400000000;238.440000000;238.400000000;6900
BBG004730N88;1683575160;238.420000000;238.410000000;238.420000000;238.390000000;3839
BBG004730N88;1683575220;238.400000000;238.420000000;238.420000000;238.390000000;2987
BBG004730N88;1683575280;238.420000000;238.410000000;238.420000000;238.390000000;5048
BBG004730N88;1683575340;238.420000000;238.400000000;238.420000000;238.400000000;5050
BBG004730N88;1683575400;238.400000000;238.420000000;238.420000000;238.390000000;1758
BBG004730N88;1683575460;238.410000000;238.430000000;238.450000000;238.410000000;3022
BBG004730N88;1683575520;238.430000000;238.450000000;238.450000000;238.430000000;3921
BBG004730N88;1683575580;238.450000000;238.450000000;238.450000000;238.430000000;3368
BBG004730N88;1683575640;238.450000000;238.470000000;238.470000000;238.440000000;2954
BBG004730N88;1683575700;238.460000000;238.470000000;238.470000000;238.460000000;1911
BBG004730N88;1683575760;238.470000000;238.490000000;238.490000000;238.460000000;5684
BBG004730N88;1683575820;238.480000000;238.500000000;238.500000000;238.470000000;10547
BBG004730N88;1683575880;238.500000000;238.500000000;238.500000000;238.490000000;14460
BBG004730N88;1683575940;238.500000000;238.530000000;238.540000000;238.490000000;20277
BBG004730N88;1683576000;238.540000000;238.560000000;238.580000000;238.540000000;15704
BBG004730N88;1683576060;238.560000000;238.570000000;238.580000000;238.550000000;1876
BBG004730N88;1683576120;238.580000000;238.550000000;238.580000000;238.550000000;3167
BBG004730N88;1683576180;238.560000000;238.590000000;238.590000000;238.550000000;4644
BBG004730N88;1683576240;238.590000000;238.600000000;238.600000000;238.580000000;3130
BBG004730N88;1683576300;238.600000000;238.570000000;238.600000000;238.570000000;3184
BBG004730N88;1683576360;238.600000000;238.680000000;239.000000000;238.560000000;78174
BBG004730N88;1683576420;238.640000000;238.670000000;238.720000000;238.510000000;8464
BBG004730N88;1683576480;238.680000000;238.770000000;238.770000000;238.510000000;9207
BBG004730N88;1683576540;238.760000000;238.700000000;238.790000000;238.650000000;2040
BBG004730N88;1683576600;238.740000000;238.750000000;238.780000000;238.680000000;2642
BBG004730N88;1683576660;238.750000000;238.770000000;238.890000000;238.700000000;11670
BBG004730N88;1683576720;238.800000000;238.790000000;238.830000000;238.730000000;1472
BBG004730N88;1683576780;238.750000000;238.800000000;238.820000000;238.740000000;1692
BBG004730N88;1683576840;238.800000000;238.770000000;238.830000000;238.760000000;1812
BBG004730N88;1683576900;238.780000000;238.770000000;238.800000000;238.660000000;5370
BBG004730N88;1683576960;238.730000000;239.010000000;239.290000000;238.670000000;59234
BBG004730N88;1683577020;239.010000000;239.080000000;239.080000000;238.870000000;3158
BBG004730N88;1683577080;238.990000000;238.920000000;239.080000000;238.710000000;14029
BBG004730N88;1683577140;238.900000000;238.860000000;238.910000000;238.710000000;4305
BBG004730N88;1683577200;238.860000000;238.880000000;238.900000000;238.780000000;2802
BBG004730N88;1683577260;238.880000000;238.850000000;238.960000000;238.850000000;3487
BBG004730N88;1683577320;238.850000000;238.840000000;238.900000000;238.830000000;3311
BBG004730N88;1683577380;238.870000000;238.920000000;238.980000000;238.840000000;4684
BBG004730N88;1683577440;238.920000000;238.930000000;238.960000000;238.920000000;2792
BBG004730N88;1683577500;238.940000000;238.880000000;238.980000000;238.850000000;5738
